Year,Town,Census Units,Government Assisted,Tenant Rental Assistance,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,Ellington,6665,260,5,0,383,5.75
2020,Enfield,17558,1340,227,7,2233,12.72
2020,Essex,3261,58,2,16,93,2.85
2020,Fairfield,21648,231,131,124,556,2.57
2020,Farmington,11106,470,107,155,881,7.93
2020,Franklin,771,27,2,0,49,6.36
2020,Glastonbury,13656,604,44,2,783,5.73
2020,Goshen,1664,1,1,0,7,0.42
2020,Granby,4360,85,2,5,143,3.28
2020,Greenwich,25631,879,443,33,1371,5.35
2020,Griswold,5118,137,54,0,349,6.82
2020,Groton,17978,3727,107,10,4221,23.48
2020,Guilford,9596,186,10,0,230,2.4
2020,Haddam,3504,22,1,0,54,1.54
2020,Hamden,25114,937,788,4,2252,8.97
2020,Hampton,793,0,1,0,12,1.51
2020,Hartford,51822,10501,8635,0,20659,39.87
2020,Hartland,856,2,0,0,10,1.17
2020,Harwinton,2282,22,5,5,68,2.98
2020,Hebron,3567,56,3,0,110,3.08
2020,Kent,1665,58,4,0,67,4.02
2020,Killingly,7592,520,147,0,855,11.26
2020,Killingworth,2598,0,0,5,23,0.89
2020,Lebanon,3125,26,3,0,113,3.62
2020,Ledyard,5987,32,8,0,273,4.56
2020,Lisbon,1730,2,0,0,61,3.53
2020,Litchfield,3975,140,2,19,189,4.75
2020,Lyme,1223,0,0,8,13,1.06
2020,Madison,8049,90,2,33,136,1.69
2020,Manchester,25996,1851,950,32,3797,14.61
2020,Mansfield,6017,175,124,2,397,6.6
2020,Marlborough,2389,24,0,0,48,2.01
2020,Meriden,25892,1964,1270,11,4274,16.51
2020,Middlebury,2892,77,5,20,127,4.39
2020,Middlefield,1863,30,3,1,55,2.95
2020,Middletown,21223,3019,1123,25,4710,22.19
2020,Milford,23074,726,208,74,1200,5.2
2020,Monroe,6918,35,3,8,100,1.45
2020,Montville,7407,81,58,0,406,5.48
2020,Morris,1314,20,4,0,32,2.44
2020,Naugatuck,13061,493,315,0,1175,9
2020,New Britain,31226,2913,1583,100,5763,18.46
2020,New Canaan,7551,175,21,21,222,2.94
2020,New Fairfield,5593,0,1,17,85,1.52
2020,New Hartford,2923,12,4,15,86,2.94
2020,New Haven,54967,9511,6867,440,17800,32.38
2020,New London,11840,1598,510,101,2718,22.96
2020,New Milford,11731,307,44,17,550,4.69
2020,Newington,13011,531,122,36,1168,8.98
2020,Newtown,10061,134,7,32,268,2.66
2020,Norfolk,967,21,2,0,28,2.9
2020,North Branford,5629,62,13,0,127,2.26
2020,North Canaan,1587,148,0,0,162,10.21
2020,North Haven,9491,393,53,23,566,5.96
2020,North Stonington,2306,0,1,6,34,1.47
2020,Norwalk,35415,2242,1468,635,4782,13.5
2020,Norwich,18659,2249,794,0,3610,19.35
2020,Old Lyme,5021,60,2,3,85,1.69
2020,Old Saybrook,5602,50,15,73,163,2.91
2020,Orange,5345,46,9,6,73,1.37
2020,Oxford,4746,36,2,0,69,1.45
